iso,name,hash
AT,Strasshof an der Nordbahn,AT-Strasshof an der Nordbahn
AT,Strassen,AT-Strassen
AT,Straßburg,AT-Straßburg
AT,Strass im Zillertal,AT-Strass im Zillertal
AT,Strallegg,AT-Strallegg
AT,Straden,AT-Straden
AT,Stotzing,AT-Stotzing
AT,Stössing,AT-Stössing
AT,Stoob,AT-Stoob
AT,Stockerau,AT-Stockerau
AT,Stockenboi,AT-Stockenboi
AT,Stiwoll,AT-Stiwoll
AT,Steinbrunn,AT-Steinbrunn
AT,Stinatz,AT-Stinatz
AT,Steyregg,AT-Steyregg
AT,Steyr,AT-Steyr
AT,Steuerberg,AT-Steuerberg
AT,Stetten,AT-Stetten
AT,Stetteldorf am Wagram,AT-Stetteldorf am Wagram
AT,Stenzengreith,AT-Stenzengreith
AT,Steinhaus,AT-Steinhaus
AT,Steinfeld,AT-Steinfeld
AT,Steinerkirchen an der Traun,AT-Steinerkirchen an der Traun
AT,Steindorf am Ossiacher See,AT-Steindorf am Ossiacher See
AT,Steinbach am Attersee,AT-Steinbach am Attersee
AT,Steinakirchen am Forst,AT-Steinakirchen am Forst
AT,Steinach am Brenner,AT-Steinach am Brenner
AT,Stein,AT-Stein
AT,Stegersbach,AT-Stegersbach
AT,Steeg,AT-Steeg
AT,Statzendorf,AT-Statzendorf
AT,Stattegg,AT-Stattegg
AT,Stanz bei Landeck,AT-Stanz bei Landeck
AT,Stanzach,AT-Stanzach
AT,Stans,AT-Stans
AT,Stams,AT-Stams
AT,Stambach,AT-Stambach
AT,Stallhofen,AT-Stallhofen
AT,Stallhof,AT-Stallhof
AT,Stallehr,AT-Stallehr
AT,Stall,AT-Stall
AT,Stainz bei Straden,AT-Stainz bei Straden
AT,Stainz,AT-Stainz
AT,Stainach,AT-Stainach
AT,Stadtschlaining,AT-Stadtschlaining
AT,Stadl-Paura,AT-Stadl-Paura
AT,Stadl an der Mur,AT-Stadl an der Mur
AT,Staatz,AT-Staatz
AT,Spitz,AT-Spitz
AT,Spittal an der Drau,AT-Spittal an der Drau
AT,Spital am Semmering,AT-Spital am Semmering
AT,Spillern,AT-Spillern
AT,Spielfeld,AT-Spielfeld
AT,Spielberg bei Knittelfeld,AT-Spielberg bei Knittelfeld
AT,Spannberg,AT-Spannberg
AT,Sonntagberg,AT-Sonntagberg
AT,Sommerein,AT-Sommerein
AT,Sollenau,AT-Sollenau
AT,Söll,AT-Söll
AT,Sölden,AT-Sölden
AT,Hall in Tirol,AT-Hall in Tirol
AT,Södingberg,AT-Södingberg
AT,Söchau,AT-Söchau
AT,Soboth,AT-Soboth
AT,Sitzendorf an der Schmida,AT-Sitzendorf an der Schmida
AT,Sittersdorf,AT-Sittersdorf
AT,Sistrans,AT-Sistrans
AT,Sinabelkirchen,AT-Sinabelkirchen
AT,Silz,AT-Silz
AT,Sillian,AT-Sillian
AT,Silbertal,AT-Silbertal
AT,Sigmundsherberg,AT-Sigmundsherberg
AT,Sierning,AT-Sierning
AT,Sierndorf,AT-Sierndorf
AT,Sieghartskirchen,AT-Sieghartskirchen
AT,Sieggraben,AT-Sieggraben
AT,Siegersdorf bei Herberstein,AT-Siegersdorf bei Herberstein
AT,Sibratsgfäll,AT-Sibratsgfäll
AT,Serfaus,AT-Serfaus
AT,Senftenberg,AT-Senftenberg
AT,Semriach,AT-Semriach
AT,Semmering,AT-Semmering
AT,Selzthal,AT-Selzthal
AT,Seitenstetten Markt,AT-Seitenstetten Markt
AT,Seiersberg,AT-Seiersberg
AT,Seibersdorf,AT-Seibersdorf
AT,Seggauberg,AT-Seggauberg
AT,Seewalchen,AT-Seewalchen
AT,Seekirchen am Wallersee,AT-Seekirchen am Wallersee
AT,Seeham,AT-Seeham
AT,Seefeld in Tirol,AT-Seefeld in Tirol
AT,Seeboden,AT-Seeboden
AT,Seebenstein,AT-Seebenstein
AT,See,AT-See
AT,Seckau,AT-Seckau
AT,Sebersdorf,AT-Sebersdorf
AT,Schwoich,AT-Schwoich
AT,Schwertberg,AT-Schwertberg
AT,Schwendt,AT-Schwendt
AT,Schwendau,AT-Schwendau
AT,Schweiggers,AT-Schweiggers
AT,Schwechat,AT-Schwechat
AT,Schwaz,AT-Schwaz
AT,Schwarzenbach an der Pielach,AT-Schwarzenbach an der Pielach
AT,Schwarzenbach,AT-Schwarzenbach
AT,Schwarzenau,AT-Schwarzenau
AT,Schwarzau im Schwarzautal,AT-Schwarzau im Schwarzautal
AT,Schwarzau im Gebirge,AT-Schwarzau im Gebirge
AT,Schwarzach im Pongau,AT-Schwarzach im Pongau
AT,Schwarzach,AT-Schwarzach
AT,Schwanenstadt,AT-Schwanenstadt
AT,Schwanberg,AT-Schwanberg
AT,Schwadorf,AT-Schwadorf
AT,Schützen am Gebirge,AT-Schützen am Gebirge
AT,Schruns,AT-Schruns
AT,Schrems bei Frohnleiten,AT-Schrems bei Frohnleiten
AT,Schrems,AT-Schrems
AT,Schrattenthal,AT-Schrattenthal
AT,Schrattenberg,AT-Schrattenberg
AT,Schrattenbach,AT-Schrattenbach
AT,Schottwien,AT-Schottwien
AT,Schoppernau,AT-Schoppernau
AT,Schönwies,AT-Schönwies
AT,Schönberg im Stubaital,AT-Schönberg im Stubaital
AT,Schönbach,AT-Schönbach
AT,Schönau an der Triesting,AT-Schönau an der Triesting
AT,Schöder,AT-Schöder
AT,Schnifis,AT-Schnifis
AT,Schnepfau,AT-Schnepfau
AT,Schmirn,AT-Schmirn
AT,Schlüsslberg,AT-Schlüsslberg
AT,Schlitters,AT-Schlitters
AT,Schlins,AT-Schlins
AT,Schleedorf,AT-Schleedorf
AT,Schlatt,AT-Schlatt
AT,Schlägl,AT-Schlägl
AT,Schladming,AT-Schladming
AT,Schildorn,AT-Schildorn
AT,Schiefling am See,AT-Schiefling am See
AT,Schenkenfelden,AT-Schenkenfelden
AT,Scheifling,AT-Scheifling
AT,Scheibbs,AT-Scheibbs
AT,Scheffau am Wilden Kaiser,AT-Scheffau am Wilden Kaiser
AT,Scheffau am Tennengebirge,AT-Scheffau am Tennengebirge
AT,Schattwald,AT-Schattwald
AT,Schattendorf,AT-Schattendorf
AT,Scharnstein,AT-Scharnstein
AT,Scharnitz,AT-Scharnitz
AT,Scharndorf,AT-Scharndorf
AT,Schärding,AT-Schärding
AT,Schardenberg,AT-Schardenberg
AT,Schandorf,AT-Schandorf
AT,Schäffern,AT-Schäffern
AT,Schachendorf,AT-Schachendorf
AT,Sautens,AT-Sautens
AT,Bad Sauerbrunn,AT-Bad Sauerbrunn
AT,Sattledt,AT-Sattledt
AT,Satteins,AT-Satteins
AT,Sankt Wolfgang im Salzkammergut,AT-Sankt Wolfgang im Salzkammergut
AT,Sankt Veit in Defereggen,AT-Sankt Veit in Defereggen
AT,Sankt Veit im Pongau,AT-Sankt Veit im Pongau
AT,Sankt Veit an der Gölsen,AT-Sankt Veit an der Gölsen
AT,Sankt Veit an der Glan,AT-Sankt Veit an der Glan
AT,Sankt Veit am Vogau,AT-Sankt Veit am Vogau
AT,Sankt Valentin,AT-Sankt Valentin
AT,Sankt Ulrich bei Steyr,AT-Sankt Ulrich bei Steyr
AT,Sankt Ulrich am Waasen,AT-Sankt Ulrich am Waasen
AT,Sankt Stefan ob Stainz,AT-Sankt Stefan ob Stainz
AT,Sankt Stefan ob Leoben,AT-Sankt Stefan ob Leoben
AT,Sankt Stefan im Rosental,AT-Sankt Stefan im Rosental
AT,Sankt Ruprecht an der Raab,AT-Sankt Ruprecht an der Raab
AT,Sankt Ruprecht,AT-Sankt Ruprecht
AT,Sankt Roman,AT-Sankt Roman
AT,Sankt Radegund bei Graz,AT-Sankt Radegund bei Graz
AT,Sankt Pölten,AT-Sankt Pölten
AT,Sankt Peter ob Judenburg,AT-Sankt Peter ob Judenburg
AT,Sankt Peter im Sulmtal,AT-Sankt Peter im Sulmtal
AT,Sankt Peter-Freienstein,AT-Sankt Peter-Freienstein
AT,Sankt Peter am Ottersbach,AT-Sankt Peter am Ottersbach
AT,Sankt Peter am Kammersberg,AT-Sankt Peter am Kammersberg
AT,Sankt Peter,AT-Sankt Peter
AT,Sankt Peter am Hart,AT-Sankt Peter am Hart
AT,Sankt Paul im Levanttal,AT-Sankt Paul im Levanttal
AT,Sankt Oswald bei Plankenwarth,AT-Sankt Oswald bei Plankenwarth
AT,Sankt Nikolai ob Draßling,AT-Sankt Nikolai ob Draßling
AT,Sankt Nikolai im Sölktal,AT-Sankt Nikolai im Sölktal
AT,Sankt Nikolai im Sausal,AT-Sankt Nikolai im Sausal
AT,Sankt Michael in Obersteiermark,AT-Sankt Michael in Obersteiermark
AT,Sankt Michael im Lungau,AT-Sankt Michael im Lungau
AT,Sankt Michael im Burgenland,AT-Sankt Michael im Burgenland
AT,Sankt Martin im Sulmtal,AT-Sankt Martin im Sulmtal
AT,Sankt Martin im Innkreis,AT-Sankt Martin im Innkreis
AT,Sankt Martin bei Lofer,AT-Sankt Martin bei Lofer
AT,Sankt Martin an der Raab,AT-Sankt Martin an der Raab
AT,Sankt Martin am Grimming,AT-Sankt Martin am Grimming
AT,Sankt Martin,AT-Sankt Martin
AT,Sankt Marienkirchen bei Schärding,AT-Sankt Marienkirchen bei Schärding
AT,Sankt Margareten im Rosental,AT-Sankt Margareten im Rosental
AT,Sankt Margarethen im Lungau,AT-Sankt Margarethen im Lungau
AT,Sankt Margarethen im Burgenland,AT-Sankt Margarethen im Burgenland
AT,Sankt Margarethen bei Knittelfeld,AT-Sankt Margarethen bei Knittelfeld
AT,Sankt Margarethen an der Sierning,AT-Sankt Margarethen an der Sierning
AT,Sankt Margarethen an der Raab,AT-Sankt Margarethen an der Raab
AT,Sankt Marein im Mürztal,AT-Sankt Marein im Mürztal
AT,Sankt Marein bei Neumarkt,AT-Sankt Marein bei Neumarkt
AT,Sankt Marein bei Knittelfeld,AT-Sankt Marein bei Knittelfeld
AT,Sankt Marein bei Graz,AT-Sankt Marein bei Graz
AT,Sankt Lorenzen im Mürztal,AT-Sankt Lorenzen im Mürztal
AT,Sankt Lorenzen bei Scheifling,AT-Sankt Lorenzen bei Scheifling
AT,Sankt Lorenzen bei Knittelfeld,AT-Sankt Lorenzen bei Knittelfeld
AT,Sankt Lorenzen am Wechsel,AT-Sankt Lorenzen am Wechsel
AT,Sankt Lorenz,AT-Sankt Lorenz
AT,Sankt Leonhard am Hornerwald,AT-Sankt Leonhard am Hornerwald
AT,Sankt Leonhard am Forst,AT-Sankt Leonhard am Forst
AT,Sankt Lambrecht,AT-Sankt Lambrecht
AT,Sankt Kathrein am Offenegg,AT-Sankt Kathrein am Offenegg
AT,Sankt Kathrein am Hauenstein,AT-Sankt Kathrein am Hauenstein
AT,Sankt Katharein an der Laming,AT-Sankt Katharein an der Laming
AT,Sankt Josef (Weststeiermark),AT-Sankt Josef (Weststeiermark)
AT,Sankt Johann in Tirol,AT-Sankt Johann in Tirol
AT,Sankt Johann in der Haide,AT-Sankt Johann in der Haide
AT,Sankt Johann im Saggautal,AT-Sankt Johann im Saggautal
AT,Sankt Johann im Pongau,AT-Sankt Johann im Pongau
AT,Sankt Johann bei Herberstein,AT-Sankt Johann bei Herberstein
AT,Sankt Johann am Tauern,AT-Sankt Johann am Tauern
AT,Sankt Jakob im Walde,AT-Sankt Jakob im Walde
AT,Sankt Jakob,AT-Sankt Jakob
AT,Sankt Ilgen,AT-Sankt Ilgen
AT,Sankt Gotthard im Mühlkreis,AT-Sankt Gotthard im Mühlkreis
AT,Sankt Gilgen,AT-Sankt Gilgen
AT,Sankt Georgen ob Murau,AT-Sankt Georgen ob Murau
AT,Sankt Georgen ob Judenburg,AT-Sankt Georgen ob Judenburg
AT,Sankt Georgen im Attergau,AT-Sankt Georgen im Attergau
AT,Sankt Georgen bei Obernberg am Inn,AT-Sankt Georgen bei Obernberg am Inn
AT,Sankt Georgen an der Stiefing,AT-Sankt Georgen an der Stiefing
AT,Sankt Georgen an der Leys,AT-Sankt Georgen an der Leys
AT,Sankt Georgen am Ybbsfelde,AT-Sankt Georgen am Ybbsfelde
AT,Sankt Georgen am Fillmannsbach,AT-Sankt Georgen am Fillmannsbach
AT,Sankt Gallenkirch,AT-Sankt Gallenkirch
AT,Sankt Gallen,AT-Sankt Gallen
AT,Sankt Florian am Inn,AT-Sankt Florian am Inn
AT,Sankt Corona am Wechsel,AT-Sankt Corona am Wechsel
AT,Sankt Blasen,AT-Sankt Blasen
AT,Sankt Bartholomä,AT-Sankt Bartholomä
AT,Sankt Anton im Montafon,AT-Sankt Anton im Montafon
AT,Sankt Anton am Arlberg,AT-Sankt Anton am Arlberg
AT,Sankt Anna am Aigen,AT-Sankt Anna am Aigen
AT,Sankt Andrä im Lungau,AT-Sankt Andrä im Lungau
AT,Sankt Andrä am Zicksee,AT-Sankt Andrä am Zicksee
AT,Sankt Andrä,AT-Sankt Andrä
AT,Sankt Aegidi,AT-Sankt Aegidi
AT,Salzburg,AT-Salzburg
AT,Sallingberg,AT-Sallingberg
AT,Salla,AT-Salla
AT,Sachsenburg,AT-Sachsenburg
AT,Saalfelden am Steinernen Meer,AT-Saalfelden am Steinernen Meer
AT,Saalbach,AT-Saalbach
AT,Rutzenham,AT-Rutzenham
AT,Rüstorf,AT-Rüstorf
AT,Rust,AT-Rust
AT,Ruprechtshofen,AT-Ruprechtshofen
AT,Rum,AT-Rum
AT,Rudersdorf,AT-Rudersdorf
AT,Ruden,AT-Ruden
AT,Rottenmann,AT-Rottenmann
AT,Röthis,AT-Röthis
AT,Röthelstein,AT-Röthelstein
AT,Rotenturm an der Pinka,AT-Rotenturm an der Pinka
AT,Rosegg,AT-Rosegg
AT,Röschitz,AT-Röschitz
AT,Roppen,AT-Roppen
AT,Röns,AT-Röns
AT,Roitham,AT-Roitham
AT,Rohr im Gebirge,AT-Rohr im Gebirge
AT,Rohr im Burgenland,AT-Rohr im Burgenland
AT,Röhrenbach,AT-Röhrenbach
AT,Rohrbach bei Mattersburg,AT-Rohrbach bei Mattersburg
AT,Rohrbach an der Lafnitz,AT-Rohrbach an der Lafnitz
AT,Rohrau,AT-Rohrau
AT,Ritzing,AT-Ritzing
AT,Rinn,AT-Rinn
AT,Riezlern,AT-Riezlern
AT,Rietz,AT-Rietz
AT,Riegersburg,AT-Riegersburg
AT,Riefensberg,AT-Riefensberg
AT,Riedlingsdorf,AT-Riedlingsdorf
AT,Ried in der Riedmark,AT-Ried in der Riedmark
AT,Ried im Oberinntal,AT-Ried im Oberinntal
AT,Ried im Innkreis,AT-Ried im Innkreis
AT,Reutte,AT-Reutte
AT,Reuthe,AT-Reuthe
AT,Retznei,AT-Retznei
AT,Retz,AT-Retz
AT,Rettenschöss,AT-Rettenschöss
AT,Rettenegg,AT-Rettenegg
AT,Rennweg am Katschberg,AT-Rennweg am Katschberg
AT,Reith bei Seefeld,AT-Reith bei Seefeld
AT,Reith bei Kitzbühel,AT-Reith bei Kitzbühel
AT,Reith im Alpbachtal,AT-Reith im Alpbachtal
AT,Reisenberg,AT-Reisenberg
AT,Reinsberg,AT-Reinsberg
AT,Reingers,AT-Reingers
AT,Reifling,AT-Reifling
AT,Reichraming,AT-Reichraming
AT,Reichenthal,AT-Reichenthal
AT,Reichenfels,AT-Reichenfels
AT,Reichendorf,AT-Reichendorf
AT,Reichenau im Mühlkreis,AT-Reichenau im Mühlkreis
AT,Reichenau an der Rax,AT-Reichenau an der Rax
AT,Redlham,AT-Redlham
AT,Redleiten,AT-Redleiten
AT,Rechnitz,AT-Rechnitz
AT,Raxendorf,AT-Raxendorf
AT,Ravelsbach,AT-Ravelsbach
AT,Rauris,AT-Rauris
AT,Rauchenwarth,AT-Rauchenwarth
AT,Rattenberg,AT-Rattenberg
AT,Ratten,AT-Ratten
AT,Ratschendorf,AT-Ratschendorf
AT,Ratsch an der Weinstraße,AT-Ratsch an der Weinstraße
AT,Rastenfeld,AT-Rastenfeld
AT,Rassach,AT-Rassach
AT,Rappottenstein,AT-Rappottenstein
AT,Ranten,AT-Ranten
AT,Rankweil,AT-Rankweil
AT,Raning,AT-Raning
AT,Ranggen,AT-Ranggen
AT,Rangersdorf,AT-Rangersdorf
AT,Randegg,AT-Randegg
AT,Ramsau,AT-Ramsau
AT,Ramsau im Zillertal,AT-Ramsau im Zillertal
AT,Ramingstein,AT-Ramingstein
AT,Rainbach im Mühlkreis,AT-Rainbach im Mühlkreis
AT,Raiding,AT-Raiding
AT,Ragnitz,AT-Ragnitz
AT,Raggal,AT-Raggal
AT,Radstadt,AT-Radstadt
AT,Bad Radkersburg,AT-Bad Radkersburg
AT,Radfeld,AT-Radfeld
AT,Radenthein,AT-Radenthein
AT,Rachau,AT-Rachau
AT,Rabenwald,AT-Rabenwald
